조회연도,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
2018,종로구,8,8,0,1,5,2
2018,중구,4,4,0,1,2,1
2018,용산구,12,12,0,4,6,2
2018,성동구,15,15,0,3,10,2
2018,동대문구,18,18,0,3,12,3
2018,성북구,28,29,0,8,21,0
2018,도봉구,18,18,0,2,13,3
2018,은평구,24,28,0,3,20,5
2018,서대문구,13,13,0,4,8,1
2018,마포구,21,21,0,6,12,3
2018,강서구,29,30,0,7,20,3
2018,구로구,23,23,0,9,12,2
2018,영등포구,37,37,0,7,24,6
2018,동작구,25,25,0,9,9,7
2018,관악구,24,26,1,8,16,1
2018,강남구,31,33,0,10,18,5
2018,강동구,24,24,0,3,15,6
2018,송파구,40,41,0,5,25,11
2018,서초구,25,26,0,5,18,3
2018,양천구,35,36,0,8,25,3
2018,중랑구,33,34,0,6,22,6
2018,노원구,29,29,0,5,21,3
2018,광진구,20,21,0,3,14,4
2018,강북구,14,15,0,1,14,0
2018,금천구,7,7,0,3,2,2
